0.0032,-0.0478,0.7176
-0.2611,1.8613,0.8464
-0.0181,4.8898,1.0497
-0.6345,3.8975,0.9843
0.0860,4.3752,1.0146
-2.8248,3.2574,0.9478
10.8628,7.0287,1.1581
41.0634,14.0103,1.5252
151.0118,37.9121,2.7460
-15.6819,0.8910,0.8307
-5.6525,3.3170,0.9641
-15.2357,0.6459,0.7997
5.2425,7.6531,1.3150
1.5558,5.9782,1.1549
-2.6915,2.9757,0.7215
-1.9029,4.1382,1.0639
-2.5691,3.4789,1.2051
-3.1655,3.3858,2.2565
-3.2644,3.2580,1.2510
-3.2656,3.2586,1.2762
-3.2616,3.2567,1.1256
-3.2610,3.2564,1.0953
-3.2613,3.2565,1.1176
-3.2612,3.2565,1.1089
-3.2610,3.2564,1.0693
-3.2609,3.2564,1.0568
-3.2610,3.2564,1.0757
-3.2609,3.2564,1.0635
-3.2609,3.2564,1.0684
-3.2609,3.2564,1.0540
-3.2609,3.2564,1.0477
